"Interprete","Codigo","Nome","Trecho","Idioma","Pacotes"
"Beyonce","20532","BREAK MY SOUL","You won´t break my soul","EUA","INT14K"
"Beyonce","19327","BROKEN-HEARTED GIRL","You're everything I thougt you never...
","EUA","INT07A"
"Beyonce","20601","CUFF IT","I feel like falin´ in love","EUA","INT15A"
"Beyonce","19374","EGO","It's on you baby let's get lost
","EUA","INT07B"
"Beyonce","2524","HALO","Remember those walls I built","EUA","INT04A"
"Beyonce","2506","IF I WERE A BOY","If I were a boy","EUA","INT04A"
"Beyonce","19503","IRREPLACEABLE","To the left to the left
","EUA","INT08A"
"Beyonce","19582","LISTEN","Listen to the song here in my heart
","EUA","INT08C"
"Beyonce","19887","LOVE ON TOP","Honey honey I can see the stars","EUA","INT10C"
"Beyonce","5940","ME MYSELF AND I","I can't believe I believed everything...
","EUA",""
"Beyonce","5945","NAUGHTY GIRL","I love to love you baby","EUA",""
"Beyonce","20306","RUN THE WORLD (GIRLS)","Girls we run this mother yeah","EUA","INT13C"
"Beyonce","2537","SINGLE LADIES","All the single ladies","EUA","INT04A"
"Beyonce","2538","SWEET DREAMS","Turn the lights on","EUA","INT04A"
"Beyonce","19280","XO","Your love is bright as ever even in the shadows","EUA","INT06C"
"Beyonce - Jay Z","19690","CRAZY IN LOVE","Oh-oh-oh... I look and stare so deep in you eyes
","EUA","INT09B"
"Beyonce - Miley Cyrus","20755","II MOST WANTED","Know we`re jumping the gun","EUA","INT15R"
"Beyonce - Shakira","20402","BEAUTIFUL LIAR","Beyonce Beyonce... He said I´m worth it his","EUA","INT13N"
"Beyonce - Slim Thug","19941","CHECK ON IT","Uh boy you looking like a train on a track","EUA","INT10D"
"Bezerra da Silva","9435","DEFUNTO CAGUETE","Mas é que eu fui num velório velar um malandro","BRA","13A"
"Bezerra da Silva","15619","PAGODE NA CASA DO GAGO","Fui num pagode na casa do gago e o rango","BRA","26D"
"Bezerra da Silva","16899","SEQUESTRARAM MINHA SOGRA","Sequestraram minha sogra bem feito","BRA","34D"
"Biafra (Byafra)","1444","AGUARDENTE","Quando você me encontrar sem medo","BRA","17D"
"Biafra (Byafra)","1765","ANTES QUE EU TE ESQUEÇA","Antes que eu te esqueça e tudo","BRA","19D"
"Biafra (Byafra)","2876","HELENA","Noite que se foi sem se quer dizer pra onde foi","BRA","22C"
"Biafra (Byafra)","1385","LEÃO FERIDO","Feche os olhos não te quero mais","BRA","17B"
"Biafra (Byafra)","4123","MOLDURA","O tempo passa e a gente","BRA","3E"
"Biafra (Byafra)","1537","PERDÕES","Perdoar não vai adiantar fugiu das mãos","BRA","18B"
"Biafra (Byafra)","3973","RUA RAMALHETE","Sem querer fui me lembrar","BRA","3A"
"Biafra (Byafra)","1538","SEU NOME","Quando escuto a sua voz estremeço me dá um","BRA","18B"
"Biafra (Byafra)","6435","SONHO DE ÍCARO","Voar voar subir subir ir por onde for","BRA","6A"
"Biafra (Byafra)","6797","TE AMO","Foi assim que de repente","BRA","7D"
"Biafra (Byafra)","1579","UMA VEZ E NUNCA MAIS","Olhar pro céu pra não ter medo de chorar","BRA","18C"
"Bicho de Pé","6226","NOSSO XOTE","Moreno me convidou para dançar...","BRA","5D"
"Big Bang","18463","KOE O KIKASETE","Sahki made no ame wa moh agatte","JAP","JP7C"
"Bill Halley - The Comets","4959","ROCK AROUND THE CLOCK","One, two, three o'clock, four o'clock","EUA",""
"Billie Eilish","20013","BAD GUY","White shirt now red my bloody nose","EUA","INT11B"
"Billie Eilish","20691","BIRDS OF A FEATHER","I want you to stay `til I`m in the grave","EUA","INT15K"
"Billie Eilish","20717","LUNCH","I could eat that girl for lunch","EUA","INT15M"
"Billie Eilish","20588","NO TIME TO DIE","I should´ve known I´d leave alone","EUA","INT14Q"
"Billie Eilish","20745","SKINNY","I fell in love for the first time","EUA","INT15Q"
"Billie Eilish","20620","WHAT WAS I MADE FOR","I used to float now I just fall down","EUA","INT15B"
"Bill Medley-Jennifer Warnes","9131","I'VE HAD THE TIME OF MY LIFE","Now I've had the time of my life","EUA","INT02-8E"
"Billy Ban Ban","5171","SHIROI BURANKO","Ano shiroi buranko","JAP","JP1"
"Billy Idol","19484","DANCING WITH MYSELF","On the floor of Tokyo
","EUA","INT08A"
"Billy Idol","9217","EYES WITHOUT A FACE","I'm all out of hope one more bad break","EUA",""
"Billy Idol","9231","REBEL YELL","Last night a little dancer","EUA",""
"Billy Joel","4583","HONESTY","If you search for tenderness","EUA","USAF"
"Billy Joel","4924","IT'S STILL ROCK 'N' ROLL TO ME","What's the matter with the clothes I'm we","EUA",""
"Billy Joel","4928","JUST THE WAY YOU ARE","Don't go changing to try and please me","EUA",""
"Billy Joel","4945","MY LIFE","Oooh... Got a call from an old","EUA",""
"Billy Joel","4601","PIANO MAN","It's nine o'clock on a Saturday","EUA","USAA"
"Billy Joel","9275","TELL HER ABOUT IT","Listen boy Don't want to see you let a good","EUA",""
"Billy Joel","4979","THE RIVER OF DREAMS","Oooh oooh... In the middle of the night","EUA",""
"Billy Joel","4987","UPTOWN GIRL","Oh oh oh oh... Uptown girl","EUA",""
"Billy Paul","9044","ME AND MRS. JONES","Me and Mrs. Jones","EUA",""
"Billy Paul","19347","ONLY THE STRONG SURVIVE","I see you sitting there all alone","EUA","INT07A"
"Billy Preston","20287","I M NEVER GONNA SAY GOODBYE","Somebody lied to me","EUA","INT13A"
"Billy Ray Cyrus","4852","ACHY BREAKY HEART","You can tell the world, you never was my","EUA",""
"Billy Swan","4907","I CAN HELP","If you've got a problem, don't care what","EUA",""
"Biquini Cavadão","1644","AGORA É MODA","Agora é moda sair nua em capa de revista
","BRA","19A"
"Biquini Cavadão","2829","DANI","Dane-se a hora se é cedo ou se é tarde","BRA","22B"
"Biquini Cavadão","9667","EM ALGUM LUGAR DO TEMPO","Não guarde mágoa de mim também não me","BRA","14C"
"Biquini Cavadão","17845","ENTRE BEIJOS E MAIS BEIJOS","Sol la vem o Sol","BRA","40N"
"Biquini Cavadão","15011","ESCUTA AQUI","Escuta aqui eu não sou culpado de tudo","BRA","23A"
"Biquini Cavadão","15071","IMPOSSÍVEL","Tudo bem quando termina bem","BRA","23B"
"Biquini Cavadão","3957","JANAÍNA","Janaína acorda todo dia às quatro e","BRA","3A"
"Biquini Cavadão","17245","NO MUNDO DA LUA","Quando os astronautas foram a lua","BRA","37A"
"Biquini Cavadão","2873","QUANDO EU TE ENCONTRAR","Eu já sei o que os meus olhos vão querer","BRA","22C"
"Biquini Cavadão","2874","QUANTO TEMPO DEMORA UM MÊS","Acordei com o seu gosto e a lembrança do seu","BRA","22C"
"Biquini Cavadão","15428","RODA GIGANTE","Quero aprender a amar pra fazer as ","BRA","25C"
"Biquini Cavadão","6475","TÉDIO","Alô sabe esses dias em que horas","BRA","6B"
"Biquini Cavadão","3268","TIMIDEZ","Toda vez que te olho crio um romance","BRA","1D"
"Biquini Cavadão","3287","VENTO E VENTANIA","Vento e ventania me leve","BRA",""
"Biquini Cavadão","2880","VOCÊ EXISTE, EU SEI","Há tanto tempo venho procurando","BRA","22C"
"Biquini Cavadão","15120","VOU TE LEVAR COMIGO","As curvas no caminho, meus olhos tão distantes","BRA","23C"
"Biquini Cavadão","15080","ZÉ NINGUÉM","Quem foi que disse que amar é sofrer","BRA","23B"
"Biquini Cavadão - Renato Russo","1096","MUMIAS","Bem aventurados sejam aqueles","BRA","15B"
"Biro do Cavaco","3570","JÉSSICA","Sem a gente esperar nasce uma","BRA","1B"
"Bispo Marcelo Crivella","5627","O AMOR MAIOR","Tudo que restou de uma paixão...","BRA","EVA"
"Bispo Marcelo Crivella","5631","PERFUME UNIVERSAL","Ela veio movida na força do amor","BRA","EVA"
"B.J.Thomas","20159","LONG AGO TOMORROW","Maybe I ll be the things I dream","EUA","INT12A"
"B.J.Thomas","5953","OH ME OH MY","To make you laugh","EUA",""
"B.J.Thomas","4546","RAINDROPS KEEP FALLING ON MY HEAD","Raindrops keep falling on my head","EUA","USAA"
"B.J.Thomas","4761","ROCK AND ROLL LULLABY","She was just sixteen and all alone","EUA","USAB"
"Black","20279","WONDERFUL LIFE","Here I go out to sea again","EUA","INT12D"
"Black Eyed Peas","20382","DONT LIE","Hey baby my nose is getting big","EUA","INT13L"
"Black Eyed Peas","19432","DON'T STOP THE PARTY","Don't stop the party don't don't don't
","EUA","INT07C"
"Black Eyed Peas","2515","I GOTTA FEELING","I gotta feelin' That tonight's gonna be a good night
","EUA","INT04A"
"Black Eyed Peas","20423","LET`S GET STARTED","Let`s get it started in here","EUA","INT13Q"
"Black Eyed Peas","19137","MY HUMPS","What you gonna do with all that junk","EUA","INT05D"
"Black Eyed Peas","19680","WHERE IS THE LOVE?","What's wrong with the world mama
","EUA","INT09A"
"Black Eyed Peas - Shakira - David Guetta","20593","DON´T WORRY","Don´t you worry don´t uou worry ´bout a thing","EUA","INT14R"
"Blackpink - Selena Gomez","20614","ICE CREAM","Come a little closer cause you looking thirsty","EUA","INT15B"
"Black Sabbath","19244","CHANGES","I feel unhappy I feel so sad","EUA","INT06C"
"Black Sabbath","19617","IRON MAN","Has he lost his mind
","EUA","INT08D"
"Black Sabbath","19139","PARANOID","Finished with my woman ","EUA","INT05D"
"Black Sabbath","20739","WAR PIGS","Generals gathered in their masses","EUA","INT15P"
"Blake Shelton - Gwen Stefani","20168","NOBODY BUT YOU","Don t have to leave this town to see","EUA","INT12B"
"Blind Melon","2623","NO RAIN","Uh uh uh uh uh... All I can say is that my","EUA","INT04D"
"Blink-182","19683","ALL THE SMALL THINGS","All the small things true care truth brings
","EUA","INT09B"
"Blink-182","19545","I MISS YOU","Hello there the angel from my nightmare
","EUA","INT08B"
"Bliss","19875","I HEAR YOU CALL","Though you dont call me no more","EUA","INT10B"
"Blitz","6041","A DOIS PASSOS DO PARAÍSO","Longe de casa há mais de uma semana","BRA","4H"
"Blitz","16852","BETTY FRIGIDA","Meu amor nao fique assim","BRA","34C"
"Blitz","9446","EGOTRIP","Um indivíduo alto magro vestindo um","BRA","13E"
"Blitz","3132","MAIS UMA DE AMOR","Perdi meu amor no paraíso","BRA",""
"Blitz","3444","QUEM TEM PÕE","Eu moro longe não tenho carro","BRA","1F"
"Blitz","3293","VOCÊ NÃO SOUBE ME AMAR","Sabe essas noites que cê sai caminhando
","BRA","1K"
"Blitz","3299","WEEKEND","Alô alô ativo ouvinte","BRA","1B"
"Blondie","4872","CALL ME","Color me your color baby Color me your","EUA",""
"Blondie","4899","HEART OF GLASS","Once I had a love and it was a gas","EUA",""
"Blondie","19806","MARIA","She moves like she dont care","BRA","INT10A"
"Blondie","20688","ONE WAY OR ANOTHER","One way or another I`m gonna find you","EUA","INT15J"
"Blondie","4981","THE TIDE IS HIGH","The tide is high but I'm holding on","EUA",""
"Blur","20030","SONG 2","Woo-hoo I got my head checked","EUA","INT11B"
"Boa","18614","EVERLASTING","Gairoju nokoru yuki tachi ni","JAP","JP8C"
"Boa","5692","EVERY HEART","Ikutsu namidao nagashitara...","JAP","JP3"
"Boa","5718","JEWEL SONG","Wow wow wow... wo wo uh wo...","JAP","JP3"
"Boa","5731","KISEKI","Zutto sagashi teita honto o watashi...","JAP","JP3"
"Boa","5747","LISTEN TO MY HEART","Uh baby nani o miteru no...","JAP","JP3"
"Boa","18502","MAMORITAI ~WHITE WISHES~","Kore de owari soh omohte ita tooi ano","JAP","JP7D"
"Boa","5768","NOTHING'S GONNA CHANGE","Fuyu no sora kagayaku orion no...","JAP","JP3"
"Boa","5769","NUMBER ONE","Jikan wa kaze no yoona hayasa...","JAP","JP3"
"Boa","5834","VALENTI","Wo wo wo wo wo wo wo u wo...","JAP","JP3"
"Boa","18359","WINTER LOVE","Fuyu no yohsei tachi ga kagayaki mai","JAP","JP6D"
"B.O.B. - Bruno Mars","20566","NOTHIN` ON YOU","Beautiful girls all over the world","EUA","INT14N"
"Bobby Di Carlo","7099","CUIDADO PRA NÃO DERRETER","Cuidado pra não derreter o amor que você","BRA","9E"
"Bobby Di Carlo","7171","MARCIANITA","Esperada marcianita asseguram os homens","BRA","9F"
"Bobby Di Carlo","6119","TIJOLINHO","Sei que se esperar mais um pouquinho","BRA","5A"
"Bobby Lewis","9278","TOSSIN' AND TURNIN'","Baby, baby You did something to me","EUA",""
"Bobby Solo","7013","CRISTINA","Scrivero per te Cristina","ITA","INT-ITA"
"Bobby Solo","7034","SE PIANGI SE RIDI","Se piange amore io piango con te","ITA","INT-ITA"
"Bobby Solo","7040","UNA LACRIMA SUL VISO","Da una lacrima sul viso ho capito mo","ITA","INT-ITA"
"Bobby Solo","3690","ZÍNGARA","Prendi questa mano zíngara","ITA","2B"
"Bob Dylan","19456","BLOWIN' IN THE WIND","How many roads must a man walk down
","EUA","INT07D"
"Bob Dylan","20664","I WANT YOU","The guilty undertaker sighs","EUA","INT15G"
"Bob Dylan","20726","LIKE A ROLLING STONE","Once upon a time you dressed so fine","EUA","INT15N"
"Bob Marley","19285","BUFFALO SOLDIER","Buffalo Soldier dreadlock rasta there was a ","EUA","INT06D"
"Bob Marley","9016","COULD YOU BE LOVED","Could you be loved and be loved don't let them","EUA",""
"Bob Marley","19575","GET UP, STAND UP","Get up stand up stand up for your rights
","EUA","INT08C"
"Bob Marley","4718","I SHOT THE SHERIFF","I shot the sheriff but I didn't shoot","EUA","USAE"
"Bob Marley","5925","JAMMIN'","All right we're jammin'","EUA",""
"Bob Marley","5951","NO WOMAN NO CRY","No woman no cry no woman no cry","EUA",""
"Bob Marley","9050","REDEMPTION SONG","Old pirates yes they rob I","EUA",""
"Bob Marley","19236","THREE LITTLE BIRDS","Don't worry about a thing...
","EUA","INT06B"
"Bob Marley - The Wailers","9127","IS THIS LOVE","I wanna love you and treat you right","EUA","INT02-8F"
"Bob Marley - The Wailers","20756","KAYA","Wake up and turn I loose","EUA","INT15R"
"Bob Marley - The Wailers","20670","TURN YOUR LIGHTS DOWN LOW","Turn your lights down low and pull your","EUA","INT15G"
"Bob Zoom","16858","PULA PIPOQUINHA","Pula pula pipoquinha pula pula","BRA","34C"
"Boca Livre","1033","A CASA","Era uma casa muito engraçada","BRA","INF1B"
"Boca Livre","6834","QUEM TEM A VIOLA","Quem tem a viola pra se acompanhar","BRA","7E"
"Boca Livre","15137","TOADA","Vem morena ouvir comigo essa cantiga","BRA","23D"
"Boi Bumbá Caprichoso","6049","BRASIS AMERÍNDIOS","América América Ybyrapytanga Araboutan","BRA","4H"
"Boi Bumbá Garantido","6058","ETERNO CAMPEÃO","Garantido meu brinquedo de...","BRA","4H"
"Boka Loka","2908","DESENGANO","Bateu paixão e a saudade logo vem","BRA","22D"
"Boka Loka","16722","DUAS PAIXOES","Eu hoje to tao dividido","BRA","33D"
"Boka Loka","16826","NAO PEDI PRA ME APAIXONAR","Ela mexe comigo e pior que nao sabe","BRA","34B"
"Boka Loka","17207","QUE SITUACAO","Logo que cheguei parei e vi voce","BRA","36K"
"Bolshoi (The)","19751","SUNDAY MORNING","I remember when I was young","EUA","INT09C"
"Bonde do Forró","15722","AI QUE PERIGO","Ela é top é sensação tá descendo até","BRA","27C"
"Bonde do Forró","1449","DEPOIS DAQUELE BEIJO","Depois daquele beijo que você roubou","BRA","17D"
"Bonde Do Rolê - Caetano Veloso","15843","BABY DON\'T DENY IT (BABY-DOLL DE NYLON)","Baby don\'t deny it you know you wanna dance","BRA","28B"
"Bonde do Tigrão","6053","CEROL NA MÃO","Quer dançar quer dançar o Tigrão vai te","BRA","4H"
"Bonde do Tigrão","6105","O BAILE TODO","Uh... Só as cachorras uh... As preparadas","BRA","5A"
"Boney M.","20392","DADDY COOL","She´s crazy like a fool wild about Daddy Cool","EUA","INT13M"
"Boney M.","20446","RASPUTIN","Hey hey hey... There lived a certain man in Russia","EUA","INT14A"
"Boney M.","4760","RIVERS OF BABYLON","By the rivers of Babylon there we","EUA","USAE"
"Bon Jovi","20161","ALL ABOUT LOVIN YOU","Looking at the pages of my life","EUA","INT12B"
"Bon Jovi","4858","ALWAYS","This Romeo is bleeding but you can't see his","EUA",""
"Bon Jovi","19424","BED OF ROSES","Sitting here wasted and wounded 
","EUA","INT07C"
"Bon Jovi","19606","BLAZE OF GLORY","I wake up in the morning
","EUA","INT08D"
"Bon Jovi","19891","BORN TO BE MY BABY","Two three four","EUA","INT10C"
"Bon Jovi","5922","I'LL BE THERE FOR YOU","I guess this time you're really leavin'","EUA",""
"Bon Jovi","20212","IN THESE ARMS","You want commitment","EUA","INT12C"
"Bon Jovi","4923","IT'S MY LIFE","This ain't a song for the broken...
","EUA",""
"Bon Jovi","20454","KEEP THE FAITH","Mother mother tell you children","EUA","INT14B"
"Bon Jovi","19788","LIE TO ME","Rumour has it that your daddy s comming down","EUA","INT09D"
"Bon Jovi","4933","LIVIN' ON A PRAYER","Once upon a time, not so long ago","EUA",""
"Bon Jovi","19224","MISUNDERSTOOD","Should I Could I Have said the wrong","EUA","INT06B"
"Bon Jovi","5946","NEVER SAY GOODBYE","As I sit in this smokey room","EUA",""
"Bon Jovi","19998","SOMEDAY ILL BE SATURDAY NIGHT","Hey man Im alive","EUA","INT11A"
"Bon Jovi","19671","THANK YOU FOR LOVING ME","It's hard for me to say the things
","EUA","INT09A"
"Bon Jovi","20035","THESE DAYS","I was walking around","EUA","INT11B"
"Bon Jovi","19755","THIS AIN'T A LOVE SONG","I should've seen it coming when roses d","EUA","INT09C"
"Bon Jovi","19240","WANTED DEAD OR ALIVE","It's all the same only the names...
","EUA","INT06B"
"Bon Jovi","4996","YOU GIVE LOVE A BAD NAME","Shot through the heart And you're to blame","EUA",""
"Bonnie Tyler","9129","IT'S A HEARTACHE","It's a heartache nothing but a heartache","EUA","INT02-8D"
"Bonnie Tyler","4985","TOTAL ECLIPSE OF THE HEART","Turn around every now and then
","EUA",""
"Boston","9230","MORE THAN A FEELING","I looked out this morning","EUA",""
"Boys Like Girls - Taylor Swift","19238","TWO IS BETTER THAN ONE","I remember what you wore in our first d","EUA","INT06B"
"Boyz II Men","9256","END OF THE ROAD","Girl, you know we belong together, heh","EUA",""
"Boyz II Men","19580","I´LL MAKE LOVE TO YOU","Close your eyes make a wish
","EUA","INT08C"
"Bozo","15201","1, 2, 3...VAMOS LÁ","Alô criançada o Bozo chegou trazendo alegria","BRA","24B"
"Bozo","15271","SEMPRE RIR","Sempre rir sempre rir pra viver é melhor sempre rir","BRA","24C"
"Braga Boys","6036","UMA BOMBA","Sensual O movimento sensual","BRA","4G"
"Brainstorm","19508","MAYBE","My body my hand my heaven my land
","EUA","INT08A"
"Brazilian Genghis Khan","1562","COMER, COMER","Quero acordar bem cedinho fazer um lanchinho","BRA","18C"
"Bread","4681","AUBREY","And Aubrey was her name and not so very","EUA","USAF"
"Bread","4682","BABY I'M A WANT YOU","Baby I'm a want you Baby I'm a need you","EUA","USAA"
"Bread","9027","EVERYTHING I OWN","You sheltered me from harm kept me warm","EUA",""
"Bread","4521","IF","If a picture paints a thousand words","EUA","USAE"
"Bread","20229","LOST WITHOUT YOUR LOVE","Lost and all alone","EUA","INT12C"
"Bread","4735","MAKE IT WITH YOU","Hey, have you ever tried","EUA","USAA"
"Bread","4783","THE DIARY","I found her diary underneath a tree","EUA","USAA"
"Bread","4786","THE GUITAR MAN","Who draws the crowd and plays so loud","EUA","USAF"
"Brenda Russell","19903","PIANO IN THE DARK","When I find myself watching the time","EUA","INT10C"
"Brenno e Matheus - DJ Ari SL","17906","DESCER PRA BC","Papai deixou uma heranca bem gorda","BRA","41C"
"Brian MCFadden","20196","LIKE ONLY A WOMAN CAN","I wasn t perfect","EUA","INT12B"
